"","DAY","variable","value"
"266","20-Jul","X1998",91
"267","21-Jul","X1998",91
"268","22-Jul","X1998",89
"269","23-Jul","X1998",91
"270","24-Jul","X1998",91
"271","25-Jul","X1998",86
"272","26-Jul","X1998",88
"273","27-Jul","X1998",80
"274","28-Jul","X1998",88
"275","29-Jul","X1998",89
"276","30-Jul","X1998",90
"277","31-Jul","X1998",86
"278","1-Aug","X1998",86
"279","2-Aug","X1998",82
"280","3-Aug","X1998",84
"281","4-Aug","X1998",86
"282","5-Aug","X1998",90
"283","6-Aug","X1998",89
"284","7-Aug","X1998",89
"285","8-Aug","X1998",86
"286","9-Aug","X1998",82
"287","10-Aug","X1998",87
"288","11-Aug","X1998",88
"289","12-Aug","X1998",84
"290","13-Aug","X1998",86
"291","14-Aug","X1998",80
"292","15-Aug","X1998",82
"293","16-Aug","X1998",86
"294","17-Aug","X1998",84
"295","18-Aug","X1998",87
"296","19-Aug","X1998",90
"297","20-Aug","X1998",79
"298","21-Aug","X1998",84
"299","22-Aug","X1998",87
"300","23-Aug","X1998",87
"301","24-Aug","X1998",88
"302","25-Aug","X1998",90
"303","26-Aug","X1998",91
"304","27-Aug","X1998",89
"305","28-Aug","X1998",90
"306","29-Aug","X1998",93
"307","30-Aug","X1998",93
"308","31-Aug","X1998",91
"309","1-Sep","X1998",87
"310","2-Sep","X1998",84
"311","3-Sep","X1998",77
"312","4-Sep","X1998",90
"313","5-Sep","X1998",91
"314","6-Sep","X1998",89
"315","7-Sep","X1998",90
"316","8-Sep","X1998",89
"317","9-Sep","X1998",79
"318","10-Sep","X1998",78
"319","11-Sep","X1998",81
"320","12-Sep","X1998",84
"321","13-Sep","X1998",89
"322","14-Sep","X1998",87
"323","15-Sep","X1998",87
"324","16-Sep","X1998",88
"325","17-Sep","X1998",87
"326","18-Sep","X1998",82
"327","19-Sep","X1998",80
"328","20-Sep","X1998",82
"329","21-Sep","X1998",82
"330","22-Sep","X1998",88
"331","23-Sep","X1998",84
"332","24-Sep","X1998",81
"333","25-Sep","X1998",82
"334","26-Sep","X1998",84
"335","27-Sep","X1998",87
"336","28-Sep","X1998",80
"337","29-Sep","X1998",75
"338","30-Sep","X1998",75
"339","1-Oct","X1998",86
"340","2-Oct","X1998",78
"341","3-Oct","X1998",77
"342","4-Oct","X1998",82
"343","5-Oct","X1998",82
"344","6-Oct","X1998",73
"345","7-Oct","X1998",82
"346","8-Oct","X1998",69
"347","9-Oct","X1998",72
"348","10-Oct","X1998",73
"349","11-Oct","X1998",78
"350","12-Oct","X1998",78
"351","13-Oct","X1998",78
"352","14-Oct","X1998",75
"353","15-Oct","X1998",79
"354","16-Oct","X1998",78
"355","17-Oct","X1998",77
"356","18-Oct","X1998",78
"357","19-Oct","X1998",82
"358","20-Oct","X1998",75
"359","21-Oct","X1998",73
"360","22-Oct","X1998",63
"361","23-Oct","X1998",63
"362","24-Oct","X1998",72
"363","25-Oct","X1998",75
"364","26-Oct","X1998",79
"365","27-Oct","X1998",79
"366","28-Oct","X1998",79
"367","29-Oct","X1998",78
"368","30-Oct","X1998",82
"369","31-Oct","X1998",79
"370","1-Jul","X1999",84
"371","2-Jul","X1999",82
"372","3-Jul","X1999",87
"373","4-Jul","X1999",88
"374","5-Jul","X1999",90
"375","6-Jul","X1999",91
"376","7-Jul","X1999",82
"377","8-Jul","X1999",86
"378","9-Jul","X1999",87
"379","10-Jul","X1999",87
"380","11-Jul","X1999",82
"381","12-Jul","X1999",77
"382","13-Jul","X1999",73
"383","14-Jul","X1999",81
"384","15-Jul","X1999",81
"385","16-Jul","X1999",86
"386","17-Jul","X1999",82
"387","18-Jul","X1999",87
"388","19-Jul","X1999",88
"389","20-Jul","X1999",90
"390","21-Jul","X1999",90
"391","22-Jul","X1999",91
"392","23-Jul","X1999",93
"393","24-Jul","X1999",93
"394","25-Jul","X1999",91
"395","26-Jul","X1999",93
"396","27-Jul","X1999",93
"397","28-Jul","X1999",93
"398","29-Jul","X1999",93
"399","30-Jul","X1999",97
"400","31-Jul","X1999",99
"401","1-Aug","X1999",96
"402","2-Aug","X1999",93
"403","3-Aug","X1999",88
"404","4-Aug","X1999",89
"405","5-Aug","X1999",91
"406","6-Aug","X1999",93
"407","7-Aug","X1999",93
"408","8-Aug","X1999",93
"409","9-Aug","X1999",91
"410","10-Aug","X1999",90
"411","11-Aug","X1999",96
"412","12-Aug","X1999",98
"413","13-Aug","X1999",97
"414","14-Aug","X1999",98
"415","15-Aug","X1999",93
"416","16-Aug","X1999",93
"417","17-Aug","X1999",96
"418","18-Aug","X1999",98
"419","19-Aug","X1999",98
"420","20-Aug","X1999",89
"421","21-Aug","X1999",91
"422","22-Aug","X1999",91
"423","23-Aug","X1999",90
"424","24-Aug","X1999",80
"425","25-Aug","X1999",82
"426","26-Aug","X1999",89
"427","27-Aug","X1999",88
"428","28-Aug","X1999",90
"429","29-Aug","X1999",91
"430","30-Aug","X1999",91
"431","31-Aug","X1999",84
"432","1-Sep","X1999",88
"433","2-Sep","X1999",91
"434","3-Sep","X1999",84
"435","4-Sep","X1999",93
"436","5-Sep","X1999",96
"437","6-Sep","X1999",96
"438","7-Sep","X1999",91
"439","8-Sep","X1999",91
"440","9-Sep","X1999",77
"441","10-Sep","X1999",87
"442","11-Sep","X1999",87
"443","12-Sep","X1999",87
"444","13-Sep","X1999",86
"445","14-Sep","X1999",87
"446","15-Sep","X1999",89
"447","16-Sep","X1999",81
"448","17-Sep","X1999",81
"449","18-Sep","X1999",82
"450","19-Sep","X1999",79
"451","20-Sep","X1999",68
"452","21-Sep","X1999",79
"453","22-Sep","X1999",72
"454","23-Sep","X1999",75
"455","24-Sep","X1999",78
"456","25-Sep","X1999",81
"457","26-Sep","X1999",82
"458","27-Sep","X1999",78
"459","28-Sep","X1999",80
"460","29-Sep","X1999",77
"461","30-Sep","X1999",71
"462","1-Oct","X1999",73
"463","2-Oct","X1999",75
"464","3-Oct","X1999",84
"465","4-Oct","X1999",71
"466","5-Oct","X1999",73
"467","6-Oct","X1999",71
"468","7-Oct","X1999",73
"469","8-Oct","X1999",73
"470","9-Oct","X1999",72
"471","10-Oct","X1999",72
"472","11-Oct","X1999",73
"473","12-Oct","X1999",70
"474","13-Oct","X1999",64
"475","14-Oct","X1999",75
"476","15-Oct","X1999",73
"477","16-Oct","X1999",77
"478","17-Oct","X1999",80
"479","18-Oct","X1999",71
"480","19-Oct","X1999",66
"481","20-Oct","X1999",60
"482","21-Oct","X1999",64
"483","22-Oct","X1999",73
"484","23-Oct","X1999",57
"485","24-Oct","X1999",59
"486","25-Oct","X1999",64
"487","26-Oct","X1999",69
"488","27-Oct","X1999",75
"489","28-Oct","X1999",73
"490","29-Oct","X1999",72
"491","30-Oct","X1999",75
"492","31-Oct","X1999",75
"493","1-Jul","X2000",89
"494","2-Jul","X2000",91
"495","3-Jul","X2000",93
"496","4-Jul","X2000",95
"497","5-Jul","X2000",96
"498","6-Jul","X2000",96
"499","7-Jul","X2000",96
"500","8-Jul","X2000",91
"501","9-Jul","X2000",96
"502","10-Jul","X2000",99
"503","11-Jul","X2000",96
"504","12-Jul","X2000",93
"505","13-Jul","X2000",91
"506","14-Jul","X2000",93
"507","15-Jul","X2000",93
"508","16-Jul","X2000",93
"509","17-Jul","X2000",91
"510","18-Jul","X2000",97
"511","19-Jul","X2000",100
"512","20-Jul","X2000",99
"513","21-Jul","X2000",93
"514","22-Jul","X2000",96
"515","23-Jul","X2000",87
"516","24-Jul","X2000",82
"517","25-Jul","X2000",75
"518","26-Jul","X2000",82
"519","27-Jul","X2000",88
"520","28-Jul","X2000",91
"521","29-Jul","X2000",89
"522","30-Jul","X2000",87
"523","31-Jul","X2000",86
"524","1-Aug","X2000",86
"525","2-Aug","X2000",81
"526","3-Aug","X2000",84
"527","4-Aug","X2000",88
"528","5-Aug","X2000",91
"529","6-Aug","X2000",91
"530","7-Aug","X2000",91
"531","8-Aug","X2000",91
"532","9-Aug","X2000",96
"533","10-Aug","X2000",95
"534","11-Aug","X2000",89
"535","12-Aug","X2000",89
"536","13-Aug","X2000",89
"537","14-Aug","X2000",89
"538","15-Aug","X2000",94
"539","16-Aug","X2000",97
"540","17-Aug","X2000",99
"541","18-Aug","X2000",101
"542","19-Aug","X2000",101
"543","20-Aug","X2000",97
"544","21-Aug","X2000",87
"545","22-Aug","X2000",86
"546","23-Aug","X2000",88
"547","24-Aug","X2000",92
"548","25-Aug","X2000",92
"549","26-Aug","X2000",90
"550","27-Aug","X2000",90
